study_id,year,location_year_name,cluster_id,mda,pcr_n_pos,pcr_n_tested,pcr_prev,pcr_n_pos_1to5y,pcr_n_tested_1to5y,pcr_prev_1to5y,tf_n_pos,tf_n_tested,tf_prev,tf_n_pos_1to5y,tf_n_tested_1to5y,tf_prev_1to5y,ti_n_pos,ti_n_tested,ti_prev,ti_n_pos_1to5y,ti_n_tested_1to5y,ti_prev_1to5y,pgp3_n_pos,pgp3_n_tested,pgp3_mean,pgp3_log10mean,pgp3_log10geomean,pgp3_prev,pgp3_n_pos_1to5y,pgp3_n_tested_1to5y,pgp3_mean_1to5y,pgp3_log10mean_1to5y,pgp3_log10geomean_1to5y,pgp3_prev_1to5y,pgp3_minobs,pgp3_minobs_lab
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-8,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,36,932.5,0.9144131388352528,8.211323056599616,2.7777777777777777,0,14,46.5,0.6174783291295365,4.1445590257721925,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-9,0,0,0,NA,0,0,NA,0,0,1.4192314,0,0,NA,0,0,1.4192314,0,0,NA,0,32,5.96875,0.5477209563563683,3.529563148166704,0,0,20,4.9,0.519148817307973,3.304827663533791,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-10,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,43,611.2790697674419,0.5402031286511731,3.4689906449290127,4.651162790697675,1,19,844.2105263157895,0.5261987461134099,3.358912929542805,5.263157894736842,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-11,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,29,8.827586206896552,0.6338131425386178,4.303414140203452,0,0,17,7.647058823529412,0.559835922481843,3.6294090890106436,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-12,0,0,0,NA,0,0,NA,0,0,17.7063735,0,0,NA,0,0,0,0,0,NA,0,8,5.375,0.661087032573782,4.582337075061535,0,0,4,6.25,0.7385606273598313,5.477225575051662,0,FALSE,Pgp3 obs <15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-13,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,1.2418617,0,0,NA,0,40,40.675,0.5143557940879139,3.2685549762770543,0,0,13,8,0.5609351378999817,3.638606892913938,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-14,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,43,8.581395348837209,0.5110763371822147,3.2439663246149912,0,0,21,4.0476190476190474,0.3859435598623011,2.4318879447088455,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-15,0,0,0,NA,0,0,NA,0,0,18.200581,0,0,NA,0,0,0,0,0,NA,0,25,11.56,0.5443808469959053,3.502521799541044,0,0,8,9.5,0.549933255125543,3.5475886366070055,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-16,0,0,0,NA,0,0,NA,0,0,1.3248632999999999,0,0,NA,0,0,0,0,0,NA,0,31,5.419354838709677,0.5260803879827172,3.357997650845364,0,0,4,1.75,0.25,1.7782794100389228,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-17,0,0,0,NA,0,0,NA,0,0,21.4707659,0,0,NA,0,0,0,0,0,NA,1,30,71.83333333333333,0.8409320997400779,6.933174000525641,3.3333333333333335,0,16,11.8125,0.7792592983186706,6.015327793101829,0,TRUE,Pgp3 obs ≥15
